aspectRatio,pageviews
2.048,344
1.4217,80
2.4359,98
2.1719,412
1.2157,144
1.4096,103
1.807,232
0.8298,64
1.8378,1344
1.4237,87
2.2899,300
1.4889,186
1.5205,5946
1.7677,70
1.2329,200
1.5946,1479
1.4026,446
0.9767,1082
2.0211,1184
0.561,145
1.8868,119
1.1053,538
0.6909,140119
2.3478,367
1.7671,1272
1.661,303
2.0897,158
0.7685,476
1.5918,179
1.7312,213
0.962,175
1.7955,421
2.3214,96
2.1452,987
2.0746,557
2.3585,263
1.7364,136
1.8375,177
2.2031,472
1.8545,258
1.16,219
2.5102,84
1.3014,265
2.2632,207
1.8533,1088
1.0794,116
0.4881,1773
0.8182,219
1.2614,86
1.6489,126
1.3563,76
1.726,1975
1.2078,181
1.5506,163
1.2875,149
0.9155,129
0.9692,445
0.8293,170
1.4405,215
1.375,841
1.2556,107
1.275,421
1.8816,4551
2.1563,564
1.3115,101
1.8689,1807
1.4342,339
0.9487,62
2.181,270
1.3626,211
1.2763,170
1.573,140
0.7681,63
1.3099,322
2.1531,519
1.1081,286
1.0541,502
0.5424,1967
1.0769,371
1.6,5935
0.5333,544
2.0492,1192
2.0778,420
1.2394,252
2.0247,120
1.7423,173
1.6768,91
1.2754,128
2.1613,915
1.5588,284
0.8642,104
1.3933,238
1.1613,355
1.3956,261
1.5507,357
0.9605,322
1.1463,145
1.2154,140
2.2083,159
0.5395,25640
1.9794,6170
9.5,179
1.8833,454
2.0581,134
1.127,102
1.7246,892
1.7347,107
0.7041,95
1.9011,153
0.9634,111
2.3636,327
1.5584,657
1.9688,2174
2.0758,4425
1.7685,141
2.4118,89
1.6512,257
1.9459,20233
1.3425,256
1.5172,275
2.1961,192
1.7797,175
1.8352,540
1.3793,151
2.0789,25584
1.0339,151
0.9478,97
1.9048,1184
1.7212,1447
2.3438,261
1.6102,228
1.9483,316
1.5914,338
1.3418,123
0.6818,127
1.0476,217
1.1628,71
2.0225,230
2.0244,228
1.0114,63
1.5301,280
1.1127,420
1.8641,238
2.4444,84
1.7368,2853
1.5441,268
1.9121,172
1.9592,1630
1.4333,222
1.9381,82
1.0139,405
2.1094,12207
1.4156,257
0.9028,99
2.3721,122
2.0602,169
1.0667,728
1.7558,293
1.0877,2394
1.1452,123
0.88,181
0.8765,254
2.1375,127
1.338,304
2.0674,198
1.8261,7793
1.8909,127
1.45,367
1.6835,435
1.9841,1144
2.0551,130
1.2584,123
1.9608,213
0.7273,5900
1.8675,122
0.9375,236
10.25,180
1.9277,214
2.0357,647
0.5811,5914
1.4578,132
0.9565,283
1.0921,230
1.5375,291
1.5055,2516
2.082,2917
1.6905,270
0.623,10753
0.494,4318
0.6667,5757
1.525,237
1.3229,155
2.0805,339
1.6047,256
1.1507,239
1.3827,73
1.6389,624
1.6944,744
1.7,2764
2.0513,208
1.3951,122
1.7474,957
0.8354,128
0.8944,75
1.764,329
1.8429,1848
0.7757,120
2.1216,255
1.274,245
0.5942,22706
0.8649,402
1.5915,677
1.5079,130
2.3818,161
1.7167,359
1.0753,139
0.9681,105
2.2881,2325
1.5904,158
1.3478,528
0.8384,465
0.5893,116
2.2195,90
2.2321,3090
0.9733,424
1.3443,89
1.3373,212
2.4231,19250
1.7407,581
1.6778,145
1.2473,163
1.2308,221
1.1023,129
1.6081,829
1.3111,93
1.7937,333
1.2353,89
1.5341,197
2.0909,2547
1.3696,1368
1.9583,2092
1.987,209
2.0319,2238
1.4035,75
1.6087,778
1.2267,223
0.8904,102
1.506,172
1.561,206
2.5096,120
1.8481,874
1.6349,146
2.1129,872
1.7561,60698
1.1899,94
1.9434,64
1.3086,73
1.3297,84
2.0157,264
1.025,101
2.0714,1067
2.2449,158
2.025,172
1.7049,268
1.0676,529
1.0606,147
1.1957,113
1.0385,77
1.84,1191
2.0877,441
1.339,101
0.7615,1521
1.9355,2096
0.9848,70
1.8696,1196
2.2807,297
2.0678,924
0.828,870
0.8617,160
0.9855,258
2.4655,75
2.4127,110
2.1207,851
1.4516,257
1.6444,403
1.5195,348
1.6375,427
2.0423,897
1.4432,242
2.0471,152
1.6479,813
2.2059,364
1.641,344
1.759,176
1.4773,161
1.4068,77
1.3667,293
1.5104,73
1.2192,227
0.9756,131
1.8169,1181
0.4872,515
1.2794,110
2.129,680
1.8382,719
0.8659,2576
2.52,298
1.4714,361
1.9405,210
0.6949,3964
2.386,154
1.4024,79
2.2769,92
1.0674,149
0.5417,5029
1.9222,185
2.1558,138
1.4054,569
2.5278,83
1.7297,5340
1.7532,37420
0.8558,77
1.8542,143
2.0099,4022
2.2203,488
1.2472,91
0.4923,233
1.383,85
1.5692,5067
0.9079,186
0.8986,181
2.125,1967
1.3056,266
1.08,342
1.2211,119
1.8701,14160
1.4198,145
1.008,116
1.8406,3521
0.9481,175
2.0879,23590
2.3714,88
2.0597,1013
1.3538,101
1.3506,247
1.8587,129
1.3049,68
0.9545,787
1.4074,90
1.8839,77
2.0686,84
0.806,319
1.3218,74
1.7792,3336
1.3523,146
2.3016,83
1.9259,263
0.76,2574
1.6912,407
1.6842,2349
1.7292,203
1.8167,277
1.803,773
2.2885,905
1.5072,326
2.0811,517
1.4789,473
0.7938,166
1.5373,204
0.971,157
1.9494,1111
2.2424,233
2.1709,163
0.8039,70
1.2447,113
0.5143,3894
1.7949,429
1.137,269
1.3462,87
2.1529,91
1.3529,230
2.2295,350
1.8966,523
1.4521,364
1.0333,2235
1.9775,449
2.0723,181
1.58,197
1.8788,1033
1.3548,857
1.4444,828
1.7681,677
2.5152,86
1.7969,424
0.7059,11750
2.1897,1133
1.5412,158
2.2097,44225
2.1957,924
0.5294,9267
1.481,145
1.3553,220
1.8485,813
1.029,244
2.2414,4316
1.8625,1586
1.2676,305
1.7162,1800
1.85,1233
1.977,383
2.2131,9025
1.2069,161
1.8615,747
0.5287,195
1.9091,8336
1.9789,251
2.2245,162
1.0947,103
0.9315,245
1.0882,174
2.0377,1568
1.4526,157
0.9367,169
1.1646,69
1.6129,410
1.6456,290
2.2892,349
2.044,337
2.03,186
0.4937,110
1.4881,268
1.7414,297
1.9219,781
1.0632,113
1.4318,10037
0.6975,170
1.3016,73
1.6907,78
1.8219,3371
0.8519,120
1.4795,596
1.4421,1427
1.325,15099
0.8353,103
1.3279,91
0.6939,346
1.8218,1136
1.5761,164
1.7889,192
0.7317,446
2.0918,125
0.9706,111
2.2653,99
1.5211,7735
1.4242,137
2.0658,211
1.9714,1181
2.2656,128
1.0159,224
0.9841,67
1.2151,116
0.6897,895
1.1273,181
1.881,378
1.1045,131
0.9221,243
1.6887,676
1.381,214
1.1705,73
2.0313,596
1.6989,130
1.8714,1233
2.2982,133
1.2133,192
1.6452,2332
1.6023,189
2.1711,89
2.0946,153
1.7463,435
1.0862,142
1.9552,846
2.359,312
1.5862,210
1.9542,337
0.8256,65
1.1379,194
2.1744,99
0.5278,7663
1.4149,113
1.5932,109
0.6875,67
1.2683,110
1.3467,409
0.8526,362
1.3708,125
1.1757,389
1.9358,145
1.618,367
2.0889,285
1.4947,201
1.8627,270
1.9882,2174
2.2273,115
1.8506,240
1.1316,195
2.0682,102
0.6923,12220
1.697,1652
1.2346,70
1.9808,84
1.8594,579
1.9153,506
1.8551,10468
1.8172,231
1.3134,151
1.0253,84
1.9506,334
1.2065,108
1.4321,173
2.7912,217
1.026,187
1.1758,81
1.747,194
1.6769,295
2.1905,604
1.9896,440
1.5114,165
2.069,810
0.7297,128
1.3053,198
1.4935,320
1.9175,1217
0.94,408
1.9432,161
1.2025,135
0.8842,181
0.8444,131
2.0215,450
1.8684,19723
1.7465,1124
1.8864,1471
1.9014,3373
1.2045,79
2.1395,80
1.4146,74
2.0563,531
0.8214,242
1.7031,226
1.5634,1239
2.2262,120
1.5763,98
0.5065,974
1.9024,104
1.0678,187
1.3953,391
0.5789,120
1.9853,1553
0.6398,1058
2.4878,152
0.5484,439
2.234,102
1.8308,989
1.8302,93
1.1842,165
0.6119,6683
1.0635,150
0.9268,227
1.3833,177
1.9263,239
1.6806,763
1.4667,983
1.5185,203
2.3043,126
1.7091,97
1.6543,279
1.7723,1610
1.0169,92
1.6022,397
1.4706,446
0.5676,391
1.3846,9966
1.6508,224
1.2688,129
2.1556,103
1.6947,161
1.1505,179
2.1489,888
1.9423,183
0.8101,65
1.9485,133
1.037,145
1.0104,128
2.1486,249
1.1129,120
1.5294,425
1.9691,3764
0.7736,309
1.3562,215
1.3608,108
1.5679,180
2.0667,2048
1.1034,147
0.8987,2140
1.6866,350
1.7833,226
2.0077,860
1.4767,206
1.5402,228
1.5957,120
1.8415,167
2.2727,744
1.4531,137
1.5429,2278
1.8021,187
2.023,166
1.961,160
1.8764,451
2.1149,157
2.3962,141
1.9315,1958
0.9718,269
1.1216,328
1.8706,245
0.6622,123
1.527,534
1.8953,211
2.0111,216
1.3929,393
2.5098,83
1.8125,613
0.9022,58
0.5867,76
1.8256,236
1.7654,1214
1.3596,145
1.2941,160
1.0745,100
2.0189,109
1.4886,301
2.0968,606
1.5062,127
1.1594,213
1.8939,786
1.3906,105
0.381,95
1.3103,227
2.1507,109
1.5604,170
2.1739,3965
1.6867,140
1.3011,115
1.0135,3985
2.7021,1438
1.4259,307
1.9036,1032
2.2576,66
1.1786,208
0.71,230
2.0806,520
1.6455,98
1.0725,353
1.1972,375
1.0349,88
0.9307,62
0.9897,102
2.1348,6375
1.8281,429
2.0545,323
1.3117,1123
0.2667,149
2.1774,4577
0.7067,49
0.5161,618
1.7111,190
2.36,103
2.1633,148
1.957,107
1.8152,630
1.7975,12107
1.4821,91
1.7119,357
2.197,284
1.2644,95
1.7302,285
1.6949,201
1.4433,78
1.5593,120
0.7143,1304
2.4048,96
1.1868,80
2.3333,2983
0.7308,4310
1.2907,96
1.3474,199
2.0114,176
0.9014,142
1.0571,371
1.7467,1190
2.1528,158
1.1471,134
1.5474,249
1.4118,393
1.9138,285
1.2958,272
1.0805,614
2.4035,855
1.7113,94
1.119,115
0.6951,75
1.0506,156
1.9535,1352
1.9173,426
1.3587,315
1.4865,517
1.785,113
1.597,261
1.3875,273
1.8065,725
2.0706,159
2.0566,217
0.8271,54
1.7966,377
2.1373,264
1.8727,210
1.4819,87
2.0694,255
0.5352,1891
2.3621,896
0.8171,129
1.7385,429
0.5517,2367
1.2949,90
1.9531,1493
1.3692,92
1.4561,89
2.1446,162
1.8056,1101
1.3768,199
0.8542,69
0.92,448
0.5443,70
0.9783,92
1.4043,327
2.0854,165
2.0725,4510
1.2935,191
2.3462,139
1.0247,73
0.5738,105
1.0263,310
1.8807,288
2.0656,177411
2.2174,156
2.2034,220
1.4878,178
1.1579,387
1.9851,773
1.7656,477
1.8211,128
1.4471,105
1.875,3585
0.7606,620
0.68,164
0.989,132
0.9589,381
1.8667,2632
1.1169,107
1.8961,199
2.1282,125
1.5135,487
1.8372,279
1.4625,222
0.5185,1953
2.131,169
2.0727,438
2.1837,152
1.65,2044
2.0899,151
2.6186,946
1.6782,233
1.4675,273
1.898,300
1.3924,137
0.8784,166
2.0517,381
1.6711,633
1.5181,507
2.011,151
1.4085,320
1.589,712
0.8947,177
1.6463,209
0.9667,71
0.5882,88
2.0813,258
2.039,249
2.15,517
1.6184,458
1.2386,72
2.1385,490
1.2319,231
2.0891,88
2.032,1451
1.8972,108
0.4865,659
1.117,91
1.8636,1028
1.1974,191
1.5479,461
1.9159,307
1.4255,148
1.7045,180
1.6458,80
1.494,85
2.3469,181
1.6974,690
2.3803,124
1.1549,388
1.9294,302
0.9444,191
0.7534,338
2.2623,332
2.1233,102
0.9833,144
0.5132,642
1.2167,102
1.3194,222
2.1277,62
1.7458,247
1.1556,104
1.3678,177
2.1163,197
1.8602,223
1.1011,85
1.9815,137
2.1061,1250
1.6333,345
1.5658,1204
1.8088,634
0.9902,11951
1.0548,458
0.8936,73
2.1875,2229
0.8375,239
1.6892,1076
0.9247,142
1.3671,320
2.3396,193
1.8161,210
1.9344,613
0.9811,180
1.2712,82
1.1392,106
1.0137,464
1.4219,217
2.0341,261
1.1368,164
1.8554,224
1.7342,626
1.9205,176
1.1325,123
1.5802,279
1.5732,75
1.1146,108
1.5395,427
0.6463,153
1.8315,303
0.9286,100
1.9615,567
1.3239,372
2.1809,159
1.0972,409
1.1818,355
2.0112,336
0.8043,131
1.4731,460
1.2809,83
1.5854,122
2.0147,1087
2.3269,130
1.806,636
1.7653,98
1.6136,247
1.6571,492
1.5876,133
1.2188,136
1.9643,950
1.1622,263
1.3718,121
1.1522,82
2.2453,159
1.2029,159
1.76,3408
1.9661,429
2.1548,139
1.5965,95
1.7708,144
1.593,444
1.9057,195
1.7188,613
2.127,4215
2.4182,234
1.4778,230
1.9195,574
0.732,303
2.2099,88
1.866,115
1.5465,144
1.4697,147
2.2237,598
1.8644,734
2.4706,551
1.0484,225
2.1698,837
1.7375,1202
1.043,117
1.4409,121
1.4805,334
2.1157,77
1.7429,898
1.6415,117
0.9437,207
0.9178,209
1.4268,86
1.9273,139
1.1268,406
1.7313,421
0.7857,94
1.4429,433
1.5641,258
2.065,107
2.0286,4758
1.0562,236
1.8983,284
1.5227,158
1.8933,2591
2.1571,531
1.8875,296
1.6824,363
1.0469,259
2.3929,405
1.2917,302
2.2667,411
1.1596,64
1.9359,192
1.5244,181
2.1964,628
0.9625,74
2.2571,3341
0.7339,1093
1.439,259
2.4828,435
2.2188,554
2.0159,4143
1.2826,127
1.1186,248
2.2292,112
1.013,182
1.7108,1109
1.3913,398
1.5435,211
2.4151,309
1.8804,634
1.4079,290
1.2198,148
1.6829,139
1.9651,495
1.7073,208
1.5753,481
0.6613,57228
2.1212,1085
1.8317,668
0.7411,303
2.0116,384
1.8333,4775
1.7766,671
1.6627,124
0.9785,801
1.3088,132
2.3171,181
1.8471,193
1.9275,1173
0.7848,70
2.0333,2036
1.022,156
1.2976,78
1.5897,168
1.7105,607
1.4923,135
1.6056,574
1.9861,4981
1.5385,652
0.8108,173
1.3646,150
1.2105,251
1.0886,99
2.3529,106
1.978,132
1.8769,672
1.6364,1242
0.9688,355
2.3158,127
1.9194,633
1.1695,133
2.1724,194013
1.5857,801
1.9524,1149
1.5517,228
1.7431,6350
0.9467,346
2.2826,181
1.9213,173
1.4688,354
1.8158,1269
2.0794,1540
1.6076,492
1.4022,130
1.4861,305
2.1351,1478
1.5974,547
0.726,810
1.5068,459
1.6812,513
1.4943,111
1.7416,292
1.32,228
1.3837,171
1.8077,396
1.9032,736
1.129,284
1.6702,111
1.8852,1013
1.8737,391
1.9574,297
1.4844,97
0.6742,192
1.5968,204
2.3448,164
2.119,193
0.7345,260
1.382,113
1.3387,128
1.7818,81
1.8621,439
0.7037,19557
1.0267,431
1.8969,169
2.1625,307
0.6038,5460
1.7632,1362
2.4464,304
1.3409,70
1.4906,601
0.9615,223
1.5254,134
1.9559,1004
1.15,268
2.0864,242
1.6277,107
1.1398,158
1.6964,73
0.9895,618
1.1212,120
1.0286,420
1.0645,1990
1.7237,813
1.4495,401
0.5269,71
0.96,556
2.1512,116
1.8358,1088
2.3261,157
1.9773,389
1.6575,620
0.7905,451
1.2737,88
2.2588,151
0.8289,78
1.7209,5704
0.6296,183
1.6613,279
2.2714,216
1.6914,491
1.2239,79
0.7372,236
0.9091,204
1.91,1993
2.1071,505
1.1528,227
1.6625,501
1.2769,109
1.6813,136
1.0519,164
2.2381,435
2.7391,119
1.35,245
1.9333,1306
1.9192,710
1.4375,485
1.6757,874
1.8413,384
1.3375,130
0.9114,1310
1.8632,121
0.8315,134
0.9753,73
1.7526,63
1.4222,211
2.2609,104
1.4231,86
1.5797,360
0.9744,76
2.0408,282
1.1754,119
1.1099,113
2.2254,710
1.3187,90
2.1786,920
1.2982,124
2.1429,138396
1.802,133
1.2424,81
1.6818,552
1.8846,217
2.0337,441
1.2533,244
1.3204,172
1.6885,281
0.6071,67
0.8605,135
0.802,839
1.7308,1060
1.8841,860
0.9839,107
1.9481,243
2.0217,282
1.6322,202
1.7549,410
2.2542,402
0.519,7497
1.8876,1298
2.463,108
2.1857,116
1.2687,140
1.1458,97
2.2208,100
1.0111,372
0.975,108
1.5476,232
0.8218,2233
1.4884,196
0.9342,422
2.193,1563
1.8351,100
1.1525,137
1.7705,240
2.0411,193
0.7387,281
1.942,1261
1.0845,768
2.0641,242
1.4545,986
2.0755,200
1.9726,27614
1.9255,103
1.7158,192
1.3804,215
1.5106,166
2.037,309
1.7439,7571
1.4634,630
2.2075,321
1.9054,1831
2.1803,2138
1.7027,3904
1.7294,215
1.5349,385
1.8902,119
1.7604,521
2.3922,129
1.0968,344
1.9759,152
1.2031,157
1.5233,227
1.9692,6398
0.5714,37044
1.4127,111
1.1515,92
2.4,1419
2.4308,116
1.6133,606
2.1358,171
1.5269,166
1.4938,134
1.5493,628
2.0339,742
2.102,116
1.7609,283
1.7921,202
0.9714,130
2.3729,195
2.2069,3243
1.8028,4102
0.5526,992
0.8861,653
1.2553,100
2.2791,116
0.8136,766
1.5765,164
1.4348,494
1.086,106
1.2027,249
1.7582,273
1.5684,110
2.1471,181
2.4407,212
0.8029,63
2.451,248
1.6437,150
1.3867,267
1.7846,608
1.8878,101
0.7188,167
0.236,150
2.0175,502
1.6875,15965
1.0211,98
1.7627,312
0.8933,189
1.4426,118
2.1829,161
2.1954,543
0.9853,78
1.931,1513
1.3421,241
0.6774,83
1.2034,142
2.3774,3200
2.1134,71
2.303,4690
0.8095,2019
1.9636,249
0.8514,105
1.9318,127
1.7978,227
0.8356,97
1.4032,113
2.625,115
2.0698,166
0.8415,87
1.5851,143
1.0105,217
1.6104,356
1.1791,122
1.0244,442
1.7684,1154
1.8407,331
1.7193,152
2.0079,178
2.0172,287
1.9889,674
0.8646,103
0.4886,128
1.027,739
1.4225,717
1.5405,520
1.3958,99
2.2742,327
1.7273,2751
1.1733,224
1.169,293
1.1341,127
1.8228,54458
1.7571,928
2.2281,687
0.6154,2436
1.3895,230
2.3725,140
0.9722,258
1.7523,244
1.3429,262
2.0208,139
0.9737,283
0.9077,67
1.6869,226
0.6721,10390
1.6304,219
2.2545,2104
1.6486,869
1.3023,139
0.8804,220
1.6897,361
2.2955,218
1.3457,133
1.2459,81
1.6438,1327
1.5352,474
1.6585,215
1.0538,150
0.8889,413
0.9479,125
1.7979,269
1.6026,223
1.8049,381
2.0263,1560
1.8986,1051
0.5469,538
1.3077,501
1.9292,138
2.1132,282
2.2833,1344
1.2817,312
1.1461,112
2.1167,1874
1.8298,123
1.2603,243
2.3443,141
1.7321,176
1.8116,975
1.9529,1967
0.8961,124
1.828,117
1.3263,522
1.2568,266
1.2286,292
2.2712,256
2.0345,520
1.6146,109
0.8041,124
0.9881,83
1.3511,143
1.9565,2393
1.5057,139
2.1731,98
1.9167,2175
1.2526,68
1.0145,297
1.093,228
1.6567,390
1.9455,167
1.1042,83
2.3191,79
2.1176,13557
1.8824,4919
1.798,176
1.8511,166
0.6061,84
1.369,107
1.7059,593
1.8529,1377
1.3407,220
1.0426,81
1.2899,155
2.2093,949
1.2656,114
2.0769,11802
1.4598,216
1.5111,128
1.3294,65
1.2639,240
2.3488,110
1.0649,130
0.5309,670
1.1494,87
1.0323,373
0.6056,265
1.9012,201
1.9403,594
1.9176,454
0.6032,29712
0.9067,217
1.0893,136
0.881,84
1.2326,139
1.9537,1661
1.4211,593
1.4766,127
1.6027,601
2.2239,101
1.1064,103
1.7742,517
2.5333,84
1.0615,263
1.0147,109
1.9322,317
1.4304,117
0.3556,86
2.1067,1035
1.7353,549
1.3067,259
0.6275,6778
1.8765,384
1.557,186
1.1935,241
1.9206,497
1.1587,111
0.914,71
1.5231,154
1.0517,67
1.623,271
1.8286,4121
1.05,435
0.9438,85
1.3857,264
1.7636,90
1.2281,97
2.4107,484
1.79,74
1.3385,130
1.5632,168
2.7805,187
1.7195,354
1.0556,565
0.5375,64
1.6094,167
1.1,771
1.6522,705
1.4615,497
2.1,6644
2.0235,183
2.1184,132
1.8796,152
1.8205,1046
2.0676,252
1.5595,174
1.7069,135
1.7624,421
1.4235,123
0.5205,4665
1.1639,104
1.5085,101
1.925,193
1.5698,192
1.8214,636
2.0108,295
2.3667,126
2.0588,3953
1.0341,200
0.5325,13923
0.9579,107
2.013,165
1.6374,117
0.4531,79
2.1609,228
1.6588,174
2.1148,545
0.4713,71
0.6102,17530
1.5238,614
1.9367,95
1.6515,338
1.7143,37521
0.9259,127
0.7595,538
1.6413,224
0.646,179
1.9588,158464
1.6623,626
1.5303,2546
1.7903,359
1.8043,1005
1.6632,230
1.7077,345
0.8667,153
1.7123,1040
2.1091,226
1.5616,533
1.284,151
1.3222,110
0.7162,101
1.9857,1375
1.8226,375
0.6316,11245
1.962,185
1.3415,90
1.6629,3676
1.3514,378
2.1494,132
1.6712,734
1.5781,540
1.4267,316
1.2947,105
1.7042,852
1.28,178
1.5733,1078
1.5357,319
1.7912,239
0.5326,111
2.1887,184
1.0946,408
1.5676,478
1.5139,404
1.2571,209
1.2782,117
1.9756,388
2.2419,213
1.3582,119
1.622,146
1.3836,502
1.7614,288
1.1286,247
1.2466,247
2.2222,1477
1.8072,254
1.2283,84
1.1746,77
0.8429,125
1.8095,1225
2.3273,615
1.8736,271
1.8596,221
0.64,1342
0.5125,5276
1.8776,3608
2.1806,108
2.0635,2229
2.0972,610
0.4691,13124
1.3205,85
0.8557,398
1.2055,283
1.6275,91
1.6837,69
2.0417,536
2.0902,116
1.6441,235
1.425,162
0.9769,71
1.6383,200
1.7719,396
1.3146,126
0.6452,1218
1.7424,649
2.1932,156
1.5735,334
2.14,234
2.2817,129
1.1867,294
1.6353,163
1.8519,307
2.3939,89
2.2388,1241
2.383,520
0.4267,102
0.5694,285997
1.4946,185
0.9892,203
1.0984,260
1.7789,198
1.9865,310
2.0784,213
1.0109,576
1.403,174
1.614,88
1.4699,182
1.1915,112
0.9219,54
2.1688,77
1.3021,123
1.9697,2005
1.2203,131
1.8182,3120
1.5319,124
2.046,281
0.6538,172
2.1618,139
2.0149,7108
1.4681,198
2.1695,2570
1.9878,203
1.2933,211
2.0202,183
1.044,184
2.0923,478
1.3171,94
0.7286,165
1.4253,133
1.6163,168
1.2973,254
1.8101,8696
1.1647,103
1.7528,211
1.0278,680
0.8831,106
1.6556,634
0.7826,1031
1.7447,178
1.2697,75
1.3472,318
1.9467,258
1.7115,234
1.1061,108
2.3226,836
1.9342,311
1.9895,593
1.1176,198
1.0682,337
0.6029,8150
1.2464,190
1.2,1123
1.96,1389
1.3433,138
0.614,400
1.8022,188
1.5426,140
1.6916,154
1.9368,588
1.4754,169
0.8608,262
1.5368,107
1.3966,78
1.4189,342
2.1639,685
1.011,112
1.8229,147
1.3544,61
2.1538,1449
1.1385,220
1.7701,251
1.3881,106
1.1408,315
2.1569,127
1.1304,407
2.2118,119
1.4458,116
2.2113,86
1.1486,366
1.8916,153
1.8235,929
2.4848,86
1.9733,550
1.5806,414
1.8448,248
1.0194,124
1.9438,345
1.4457,153
0.9857,221
1.9556,172
0.4524,123
1.5393,999
1.4286,2960
1.4595,2294
0.8676,72
2.0122,278
2.3,302
1.3492,196
2.0351,353
1.663,196
1.7759,322
1.2632,376
2.0152,897
1.6857,1321
0.4875,201
0.9412,548
0.5844,89
1.5614,94
0.6406,377
1.5361,85
1.55,421
2.0707,148
1.8778,245
1.6548,243
1.3684,491
1.4737,547
2.3607,372
2.18,316
1.4571,8244
1.1778,76
2.12,254
2.141,205
1.5526,449
1.3649,364
0.7727,106
1.3636,434
1.6386,144
2.0462,927
1.0106,238
1.5246,114
0.5667,167
1.6739,258
2.2687,15731
0.5679,106
0.9189,225
1.949,1865
1.2368,204
2.1948,201
1.854,289
2.1515,1257
1.8393,255
2.1566,111
1.5571,406
2.1458,109
1.64,1150
1.8793,302
1.1711,200
1.303,75
1.2727,334
2.2264,194
1.163,126
1.3579,123
1.9383,174
1.7534,1330
1.1918,222
0.8636,150
1.9114,211
1.3361,52
1.8718,165
2.0361,518
1.0694,451
2.3148,532
0.5181,80
0.7021,84
1.7757,800
0.8706,494
1.3108,296
0.9495,61
1.7412,354
1.6203,294
1.8246,197
1.3284,149
1.7097,530
2.0353,2006
1.6533,639
0.9333,367
1.8113,542
1.4535,315
2.2029,2741
0.9896,220
2.0164,915
1.3556,96
0.8452,805
0.8378,102
1.9247,824
1.95,613
1.1449,261
1.9577,1758
1.5867,574
1.4186,116
1.0366,142
1.5455,4127
1.7944,146
2.2462,131
1.2113,381
1.4776,181
1.9706,942
1.6032,2172
0.5833,1274
0.8485,108
0.72,439
1.8681,169
0.5373,29595
2.3115,179
1.5542,106
1.7326,10840
1.4744,134
1.1017,166
2.0519,1720
1.5769,126
1.9478,192
2.1702,226
1.9663,223
1.3441,286
0.9512,99
1.2361,259
1.1803,121
1.766,8716
1.617,132
1.0256,83
1.7931,385
1.629,576
1.2344,90
1.4105,191
1.9375,1056
1.662,2651
1.9885,221
2.22,143
2.0185,674
1.4894,119
1.72,851
1.172,128
2.0274,280
1.0319,142
1.8,16768
1.2375,97
2.0115,152
2.0508,657
1.4912,113
2.2326,634
1.0238,100
2.0543,864
1.7634,168
1.8814,273
0.837,8131
1.3026,171
1.7164,456
1.8772,317
1.4051,143
1.4474,397
1.7529,266
1.9298,348
2.0156,1744
1.7065,182
1.1481,131
1.8923,772
0.7049,92
2.1935,306
1.1139,112
2.4918,97
1.6753,573
1.0833,748
1.5278,408
1.5833,1182
1.0222,122
2.1098,258
1.01,154
1.1765,105
1.4831,359
1.7813,773
1.3368,221
1.8842,913
2.1014,387
1.4783,1924
1.1538,267
1.7639,3200
1.7922,983
1.7083,948
1.6714,719
2.1596,210
1.6377,465
2.4068,73
0.5568,92
0.7451,1135
1.5422,293
1.7451,107
2.0761,876
0.7193,290
0.84,64
1.6707,170
1.9762,489
1.8911,216
1.7216,408
1.1467,225
1.5158,202
1.6296,796
1.0933,283
2.137,175
2.0123,380
1.5977,196
2.1884,243
1.5053,225
1.2208,158
1.5256,189
1.7826,1139
2.3125,128
1.493,448
2.4314,94
1.9868,270
0.4935,1068
1.901,577
1.6164,631
1.092,121
1.9351,187
1.1781,261
0.6545,1127
1.1714,253
0.9684,118
1.9241,4712
1.541,118
1.8136,215
1.4941,137
1.2289,80
2.1408,8735
1.7349,1133
1.7821,525
1.6429,865
0.9103,79
1.6607,142
2.1477,235
0.7442,2034
1.4394,134
0.7191,53
1.6265,169
2.0488,840
2.0297,88
1.8434,136
1.0659,112
1.1184,160
1.4828,247
1.7957,250
1.1607,93
0.7549,781
1.7284,412
0.5862,516
0.9577,267
1.9747,150
1.6053,480
1.1925,767
2.1765,449
1.6915,167
1.3065,77
1.016,93
1.2209,77
0.7407,131
0.9872,75
1.9709,109
1.5484,299
1.9324,4504
1.6267,902
1.7174,222
1.8354,434
1.9737,148
1.7037,634
1.8472,1309
0.9059,145
0.9024,102
1.5889,481
1.975,2127
1.4493,275
1.1875,302
0.925,139
1.4565,165
1.9077,1203
1.2813,193
1.7475,81
2.4138,244
1.7436,323
2.48,154
1.9016,448
0.527,1748
1.5443,157
1.9872,151
2.0943,218
1.5647,185
1.2841,115
2.0984,6066
1.4918,97
1.7041,100
1.4853,593
1.7283,185
0.629,375
2.1404,717
1.9855,3077
1.1563,141
0.5909,52999
0.8873,80
2.1831,104
1.831,1123
2.4286,188
1.3977,169
1.3377,144
1.9043,626
1.8475,212
0.7846,498
1.9123,264
1.087,709
2.1231,800
1.1196,144
1.5488,148
1.8052,1130
1.7333,1401
1.1014,345
2.0833,2069
1.791,1828
1.7204,205
1.3175,66
1.6212,269
1.6098,127
2.1013,116
1.2967,77
4.2667,128
1.9623,147
1.5934,127
2.1034,1956
1.4316,162
0.4767,463
1.8295,204
1.0141,758
2.1296,360
2.1449,168
1.3288,242
1.3736,221
2.1321,150
